from_id,to_id,factor,location
2f8cc78f-7f63-4b5c-9010-70a847737d23,IC_EF_LAND_USE,2.4546E+02,SE
87334803-fa5b-4c21-b52c-de9d79d806f8,IC_EF_LAND_USE,-1.3918E+02,DE
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,2.36E+01,ID
64faa7b1-e114-497a-b584-f4659e7115e4,IC_EF_LAND_USE,-1.2221E+02,NZ
616ab5c3-116f-4fbb-bc6b-196318afe5be,IC_EF_LAND_USE,8.1884E+01,KZ
8db68d81-3998-4b52-af19-2beb2ac9a98e,IC_EF_LAND_USE,1.1636E+02,LT
b0259a80-eb97-4dee-be0a-d0535a8a9ed4,IC_EF_LAND_USE,4.2051E+02,BE
e412ed0d-8a14-4eea-a9f5-f966517360c0,IC_EF_WATER_USE,9.53E+00,NZ
92f1554f-121d-4f07-a1bb-b07cd2f7c2f5,IC_EF_LAND_USE,4.3682E+02,BE
503f7e73-748c-4f38-9b87-90805b5d1c38,IC_EF_LAND_USE,-1.4558E+02,DE
848d055d-88c2-4926-9ddd-1671887c4e2f,IC_EF_LAND_USE,2.3974E+02,TH
ac0aba5c-66ce-42c9-9f46-1e47ab7bc4b9,IC_EF_LAND_USE,-63.6,
39f017d4-14b0-44c2-93c6-ed6bf28332a8,IC_EF_LAND_USE,1.4617E+02,GB
8db68d81-3998-4b52-af19-2beb2ac9a98e,IC_EF_LAND_USE,1.1465E+02,HU
f6225b5f-b9cf-4c88-82d2-a578e1ce5e42,IC_EF_LAND_USE,2.5668E+02,BR
1729ef88-6556-11dd-ad8b-0800200c9a66,IC_EF_WATER_USE,3.54E+00,DK
9699a63f-c966-43a4-816c-b1fbbf0a3e88,IC_EF_LAND_USE,-3.1743E+02,LK
91e86b1f-98b2-433a-8356-cfc2b2b2a7c4,IC_EF_LAND_USE,7.3972E+01,ES
848d055d-88c2-4926-9ddd-1671887c4e2f,IC_EF_LAND_USE,2.3784E+02,BR
25a53117-7717-41f6-9085-64b1728c9b0d,IC_EF_LAND_USE,-1.1209E+02,CN
f210f08e-7377-49b2-bed9-7e420a951ae9,IC_EF_LAND_USE,3.5841E+01,US
25a53117-7717-41f6-9085-64b1728c9b0d,IC_EF_LAND_USE,-1.1060E+02,IN
25a53117-7717-41f6-9085-64b1728c9b0d,IC_EF_LAND_USE,-1.2842E+02,BR
87334803-fa5b-4c21-b52c-de9d79d806f8,IC_EF_LAND_USE,-1.2210E+02,HU
1729ef88-6556-11dd-ad8b-0800200c9a66,IC_EF_WATER_USE,6.79E-01,CO
2f8cc78f-7f63-4b5c-9010-70a847737d23,IC_EF_LAND_USE,2.9474E+02,IN
42378359-15eb-4e60-8f72-b796b9d71e69,IC_EF_LAND_USE,1.4158E+02,EE
f62266ab-2385-45b1-beb6-cbdbafaeb00b,IC_EF_WATER_USE,1.34E+00,CH
25a53117-7717-41f6-9085-64b1728c9b0d,IC_EF_LAND_USE,-1.1209E+02,PL
