id,name,flowType,category,referenceUnit,casNumber,status,description,source,sourceDatabase
FLOW_PA12,PA12,ProductFlow,material,kg,,candidate,Intermediate/product flow for PA12,,
FLOW_PETG,PETG,ProductFlow,material,kg,,candidate,Intermediate/product flow for PETG,,
FLOW_ALUMINUM,Aluminum,ProductFlow,material,kg,,candidate,Intermediate/product flow for aluminum,,
FLOW_STEEL,Steel,ProductFlow,material,kg,,candidate,Intermediate/product flow for steel,,
FLOW_TPU,TPU,ProductFlow,material,kg,,candidate,Intermediate/product flow for TPU,,
FLOW_SILICONE,Silicone,ProductFlow,material,kg,,candidate,Intermediate/product flow for silicone,,
FLOW_ELECTRICITY,Electricity,ProductFlow,energy,kWh,,candidate,Electricity input as intermediate/product flow,,
FLOW_COMPONENT,Finished gripper component,ProductFlow,product,pcs,,candidate,Reference product output,,
FLOW_WASTE,Manufacturing waste,WasteFlow,waste,kg,,candidate,Generic waste flow,,
08a91e70-3ddc-11dd-92b1-0050c2490048,dibenz[a,h]anthracene,ElementaryFlow,Emissions / Emissions to air,kg,000053-70-3,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-92c3-0050c2490048,acetic acid,ElementaryFlow,Emissions / Emissions to air,kg,000064-19-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-92c7-0050c2490048,acetic acid,ElementaryFlow,Emissions / Emissions to water,kg,000064-19-7,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-92f5-0050c2490048,2,3,7,8-tetrachlorodibenzo-p-dioxin,ElementaryFlow,Emissions / Emissions to water,kg,001746-01-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9305-0050c2490048,HFC-143,ElementaryFlow,Emissions / Emissions to air,kg,000430-66-0,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9309-0050c2490048,HFC-152a,ElementaryFlow,Emissions / Emissions to air,kg,000075-37-6,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-930f-0050c2490048,1,2-dibromoethane,ElementaryFlow,Emissions / Emissions to air,kg,000106-93-4,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9313-0050c2490048,1,2-dibromoethane,ElementaryFlow,Emissions / Emissions to water,kg,000106-93-4,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-9319-0050c2490048,1,2-dichloroethane,ElementaryFlow,Emissions / Emissions to soil,kg,000107-06-2,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
08a91e70-3ddc-11dd-931a-0050c2490048,bromide,ElementaryFlow,Emissions / Emissions to soil,kg,024959-67-9,reference,ILCD/EF background flow (Sphera GaBi dataset, Aluminium profile EN15804 A1-A3).,,
